TIPO,ID,NOMBRE,DENOMINACION,ENTIDADES_RELACIONADAS
Control,1,Comisión Nacional de Regulación del Transporte (CNRT),"","2,35"
Prestador,2,Trenes Argentinos, "","3,19"
Entidad,3,Línea Roca,Linea de Tren,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Establecimiento,4,Estación H. Yrigoyen,Estación de Tren,""
Establecimiento,5,Estación H. Yrigoyen,Estación de Tren,""
Establecimiento,6,Estación D. Santillán y M. Kosteki,Estación de Tren,""
Establecimiento,7,Estación Gerli,Estación de Tren,""
Establecimiento,8,Estación Lanús,Estación de Tren,""
Establecimiento,9,Estación Remedios de Escalada,Estación de Tren,""
Establecimiento,10,Estación Banfield,Estación de Tren,""
Establecimiento,11,Estación Lomas de Zamora,Estación de Tren,""
Establecimiento,12,Estación Temperley,Estación de Tren,""
Establecimiento,13,Estación José Mármol,Estación de Tren,""
Establecimiento,14,Estación Calzada,Estación de Tren,""
Establecimiento,15,Estación Claypole,Estación de Tren,""
Establecimiento,16,Estación Ardigó,Estación de Tren,""
Establecimiento,17,Estación Florencio Varela,Estación de Tren,""
Establecimiento,18,Estación Bosques,Estación de Tren,""
Entidad,19,Línea Mitre,Linea de Tren,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34"
Establecimiento,20,Estación Retiro,Estación de Tren,""
Establecimiento,21,Estación 3 de Febrero,Estación de Tren,""
Establecimiento,22,Estación Carranza,Estación de Tren,""
Establecimiento,23,Estación Colegiales,Estación de Tren,""
Establecimiento,24,Estación Belgrano R,Estación de Tren,""
Establecimiento,25,Estación Drago,Estación de Tren,""
Establecimiento,26,Estación Urquiza,Estación de Tren,""
Establecimiento,27,Estación Pueyrredón,Estación de Tren,""
Establecimiento,28,Estación Miguelete,Estación de Tren,""
Establecimiento,29,Estación San Martín,Estación de Tren,""
Establecimiento,30,Estación San Andrés,Estación de Tren,""
Establecimiento,31,Estación Malaver,Estación de Tren,""
Establecimiento,32,Estación Villa Ballester,Estación de Tren,""
Establecimiento,33,Estación Chilavert,Estación de Tren,""
Establecimiento,34,Estación José León Suárez,Estación de Tren,""
Prestador,35,Subterráneos de Buenos Aires,"","36,53"
Entidad,36,Línea B,Linea de Subte,"37,38,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52"
Establecimiento,37,Estación Leandro N. Alem,Estación de Subte,""
Establecimiento,38,Estación Florida,Estación de Subte,""
Establecimiento,38,Estación Pellegrini,Estación de Subte,""
Establecimiento,39,Estación Uruguay,Estación de Subte,""
Establecimiento,40,Estación Callao,Estación de Subte,""
Establecimiento,41,Estación Pasteur Amia,Estación de Subte,""
Establecimiento,42,Estación Pueyrredón,Estación de Subte,""
Establecimiento,43,Estación Carlos Gardel,Estación de Subte,""
Establecimiento,44,Estación Medrano,Estación de Subte,""
Establecimiento,45,Estación Angel Gallardo,Estación de Subte,""
Establecimiento,46,Estación Malabia Pugliese,Estación de Subte,""
Establecimiento,47,Estación Dorrego,Estación de Subte,""
Establecimiento,48,Estación F. Lacroze,Estación de Subte,""
Establecimiento,49,Estación Tronador Villa Ortúzar,Estación de Subte,""
Establecimiento,50,Estación De los Incas Parque Chas,Estación de Subte,""
Establecimiento,51,Estación Echeverría,Estación de Subte,""
Establecimiento,52,Estación Juan Manuel de Rosas,Estación de Subte,""
Entidad,53,Línea C,Linea de Subte,"54,55,56,57,58,59,60,61,62"
Establecimiento,54,Estación Constitución,Estación de Subte,""
Establecimiento,55,Estación San Juan,Estación de Subte,""
Establecimiento,56,Estación Independencia,Estación de Subte,""
Establecimiento,57,Estación Moreno,Estación de Subte,""
Establecimiento,58,Estación Avenida de Mayo,Estación de Subte,""
Establecimiento,59,Estación Diagonal Norte,Estación de Subte,""
Establecimiento,60,Estación Lavalle,Estación de Subte,""
Establecimiento,61,Estación General San Martín,Estación de Subte,""
Establecimiento,62,Estación Retiro,Estación de Subte,""
Control,63,Banco Central de la República Argentina (BCRA),"","64"
Prestador,64,Banco Santander Río, "","65,66,67"
Entidad,65,Banco Santander Río Buenos Aires,Entidad Bancaria,"68,69,70,71"
Entidad,66,Banco Santander Río Rosario,Entidad Bancaria,"72,73"
Entidad,67,Banco Santander Río Córdoba,Entidad Bancaria,"74,75"
Establecimiento,68,Sucursal Adrogué,Sucursal Bancaria,""
Establecimiento,69,Sucursal Lomas de Zamora,Sucursal Bancaria,""
Establecimiento,70,Sucursal Palermo,Sucursal Bancaria,""
Establecimiento,71,Sucursal Centro,Sucursal Bancaria,""
Establecimiento,72,Sucursal Azcuenaga,Sucursal Bancaria,""
Establecimiento,73,Sucursal Abasto,Sucursal Bancaria,""
Establecimiento,74,Sucursal Colón,Sucursal Bancaria,""
Establecimiento,75,Sucursal Jardín,Sucursal Bancaria,""
Prestador,76,Banco Nación, "","77,78,79"
Entidad,77,Banco Nación Buenos Aires,Entidad Bancaria,"80,81,82,83"
Entidad,78,Banco Nación Chubut,Entidad Bancaria,"84,85"
Entidad,79,Banco Nación Misiones,Entidad Bancaria,"86,87"
Establecimiento,80,Sucursal Banfield,Sucursal Bancaria,""
Establecimiento,81,Sucursal Central,Sucursal Bancaria,""
Establecimiento,82,Sucursal Belgrano,Sucursal Bancaria,""
Establecimiento,83,Sucursal Villa Urquiza,Sucursal Bancaria,""
Establecimiento,84,Sucursal Madryn,Sucursal Bancaria,""
Establecimiento,85,Sucursal Esquel,Sucursal Bancaria,""
Establecimiento,86,Sucursal Alta Gracia,Sucursal Bancaria,""
Establecimiento,87,Sucursal 25 de Mayo,Sucursal Bancaria,""
